Year,State:,final_didnotvote_weight,final_didvote_weight,segment_size,voterturnout,standard_error
2000,Alabama,273977.1507999998,375149.7251999999,649126.8759999997,0.5779297377297318,0.0006130065326576898
2000,Alaska,7273.990400000001,26834.42019999999,34108.41059999999,0.7867390983032202,0.002217891243134164
2000,Arizona,193032.1315,406122.0321,599154.1636,0.6778256027794715,0.000603719503179289
2000,Arkansas,197868.16299999994,262871.2872999999,460739.45029999985,0.5705421733017161,0.0007292499988885799
2000,California,983230.1722999997,2316588.4908999987,3299818.6631999984,0.7020350896050414,0.00025177750992012204
2000,Colorado,117852.0549,318632.13209999993,436484.1869999999,0.7299969657320026,0.0006719865684279414
2000,Connecticut,123049.59319999997,388327.6941,511377.28729999997,0.7593761079032577,0.0005977603720914228
2000,Delaware,37182.0911,79429.44950000002,116611.54060000001,0.6811457004282131,0.0013647257376312384
2000,District of Columbia,34462.272800000006,39624.12839999999,74086.4012,0.5348367279041216,0.0018325003675486473
2000,Florida,760596.7399000002,1889450.6699000015,2650047.4098000014,0.7129874970963626,0.00027788464085541734
2000,Georgia,318521.24079999985,430722.5348999999,749243.7756999998,0.5748763604977387,0.0005711277745246112
2000,Hawaii,75004.4442,73125.84059999998,148130.28479999996,0.4936589482611998,0.0012990119538255633
2000,Idaho,39334.45249999999,104421.35109999996,143755.80359999996,0.7263800729085833,0.0011758261886424403
2000,Illinois,545059.6270999998,1036776.575699999,1581836.2027999987,0.6554260004068734,0.0003778525255452216
2000,Indiana,299998.51730000007,602456.2202,902454.7375,0.6675749986851833,0.0004958886369880101
2000,Iowa,131964.49209999997,358175.10199999984,490139.5940999998,0.7307614122823218,0.0006335728547204528
2000,Kansas,95362.17039999999,307836.88220000005,403199.05260000005,0.7634861248183399,0.0006692203440319423
2000,Kentucky,224762.81660000002,366787.5905999999,591550.4071999999,0.6200445239081562,0.0006310763621609548
2000,Louisiana,223789.3167999999,366567.52129999996,590356.8380999998,0.6209253414930506,0.0006314293569356515
2000,Maine,43875.72290000001,155757.70939999993,199633.43229999993,0.7802185616181483,0.0009268020972573211
2000,Maryland,239987.4605,511436.6785,751424.139,0.6806231686682612,0.0005378516397217642
2000,Massachusetts,274424.4791,713053.7659999997,987478.2450999997,0.7220956710066968,0.000450797250349183
2000,Michigan,309332.1079,898613.3709999993,1207945.4788999993,0.743918816450483,0.00039712565095584925
2000,Minnesota,136635.19019999995,503445.31820000015,640080.5084000002,0.7865343680882504,0.0005121598534786637
2000,Mississippi,144616.88049999997,259955.7642,404572.64469999995,0.64254409586383,0.0007534673691418527
2000,Missouri,187814.59870000003,633698.6045000001,821513.2032000001,0.7713796954590444,0.00046332339194902285
2000,Montana,27755.824199999992,105557.40130000001,133313.2255,0.7917999201062014,0.0011120173277255215
2000,Nebraska,56402.53669999999,201063.13390000013,257465.67060000013,0.7809318167794601,0.0008151481491590365
2000,Nevada,82599.8554,148380.66820000001,230980.52360000001,0.6423947174739195,0.000997275758655497
2000,New Hampshire,45526.43869999999,137316.77949999998,182843.21819999997,0.7510083275268012,0.0010112891766123576
2000,New Jersey,411581.9865999998,763632.1158999995,1175214.1024999993,0.6497812732807977,0.00044004265933680073
2000,New Mexico,84078.39489999998,151962.12309999988,236040.51799999987,0.6437967700952086,0.0009856666076666438
2000,New York,841415.3953999993,1590751.4465000003,2432166.8418999994,0.6540470082460755,0.0003050115922104674
2000,North Carolina,451785.31479999993,642251.5353,1094036.8501,0.5870474429095284,0.00047072872950003027
2000,North Dakota,33424.5517,65383.218900000036,98807.77060000005,0.6617214263915393,0.001505148304573983
2000,Ohio,645613.9942,1211930.081100001,1857544.075300001,0.6524367831779546,0.000349394898244829
2000,Oklahoma,185665.91460000002,325646.3817000002,511312.2963000002,0.6368835329337259,0.0006725272152392967
2000,Oregon,96229.7736,322237.6710000001,418467.4446000001,0.7700423895770839,0.0006505045993810472
2000,Pennsylvania,779858.9749,1316866.2618000011,2096725.2367000012,0.6280585737941485,0.00033378482562813823
2000,Rhode Island,59579.437900000004,104960.70800000009,164540.1459000001,0.6379033361486768,0.0011848237727417222
2000,South Carolina,315212.7995999999,372925.30769999995,688138.1072999998,0.5419338120413377,0.0006006195130857249
2000,South Dakota,20178.6692,78117.2608,98295.93000000001,0.794715109771076,0.0012882983765623978
2000,Tennessee,285559.03239999985,446813.78750000003,732372.8198999999,0.6100906196396109,0.0005699186990641832
2000,Texas,793288.3941999997,1342431.8671000027,2135720.261300002,0.6285616573599724,0.0003306321834684505
2000,Utah,56358.42829999998,159294.83770000003,215653.266,0.7386618373774132,0.0009461200101969872
2000,Vermont,29486.941199999994,75843.82559999995,105330.76679999995,0.7200538636921798,0.0013833819620203331
2000,Virginia,349117.0477000001,587499.3102999997,936616.3579999998,0.6272571531363322,0.0004996278067654986
2000,Washington,183479.84600000002,561319.2860999999,744799.1320999999,0.7536519068132249,0.0004992756925065334
2000,West Virginia,139985.56660000005,176940.21440000003,316925.7810000001,0.558301738159951,0.0008821014794507078
2000,Wisconsin,123140.49919999999,615234.4585999995,738374.9577999995,0.8332276875059534,0.00043381577689553395
2000,Wyoming,23486.0193,41073.87469999999,64559.89399999999,0.6362134779837154,0.0018934041762359883
2002,Alabama,323572.88359999965,317053.06710000004,640625.9506999997,0.49491137028333343,0.0006246622313138366
2002,Alaska,16153.281100000002,33167.735399999976,49321.016499999976,0.6724868576056212,0.0021131983225718483
2002,Arizona,240060.89589999997,371356.2435,611417.1394,0.6073696983117317,0.0006245247627073185
2002,Arkansas,194197.18899999998,269249.521,463446.70999999996,0.5809719115278649,0.0007247683738238582
2002,California,1410993.022700001,1794702.3554000023,3205695.378100003,0.5598480653092223,0.0002772523736094193
2002,Colorado,164485.43819999998,300523.34909999993,465008.7872999999,0.6462745593366983,0.0007011502582377606
2002,Connecticut,206585.24609999993,273710.71119999985,480295.9572999998,0.5698792734768663,0.0007143847099923255
2002,Delaware,44161.052,74751.69550000003,118912.74750000003,0.6286264262794871,0.001401159606128784
2002,District of Columbia,39934.7216,31707.181300000004,71641.9029,0.442578714642154,0.0018556816764195088
2002,Florida,1041359.5895999996,1709900.5193999996,2751260.1089999992,0.6214972236927091,0.0002924073638617092
2002,Georgia,435566.91279999993,405055.1872,840622.0999999999,0.4818516991166424,0.0005449834762970413
2002,Hawaii,73998.10809999997,108958.32050000006,182956.42860000004,0.5955424541993931,0.001147410968857996
2002,Idaho,63738.68679999999,126628.10519999989,190366.79199999987,0.6651795928777324,0.00108163273599931
2002,Illinois,695849.7468999997,925177.5910999993,1621027.337999999,0.5707353413554829,0.0003887628709646814
2002,Indiana,438485.60859999986,453799.82709999976,892285.4356999996,0.5085814571701408,0.0005292417888036934
2002,Iowa,153311.0136000001,280204.0352999997,433515.0488999998,0.6463536525686682,0.0007261353890604535
2002,Kansas,128707.5269,247916.62239999985,376624.1492999998,0.658260026237781,0.0007728452648564005
2002,Kentucky,338151.7919,318802.83570000017,656954.6276000002,0.4852737499767024,0.0006166146945487744
2002,Louisiana,254292.74410000007,338842.0331999999,593134.7773,0.5712732521644367,0.0006425923344544327
2002,Maine,68364.16239999999,144384.80050000007,212748.96290000004,0.6786627701112052,0.0010124505243296778
2002,Maryland,266672.4321,486355.6438999995,753028.0759999994,0.6458665478762307,0.0005511239541578205
2002,Massachusetts,296437.9378,615963.9653999998,912401.9031999998,0.6751015788543128,0.0004903038133792842
2002,Michigan,507297.61830000003,848659.7486999998,1355957.3669999999,0.625874949577231,0.00041555562124062666
2002,Minnesota,181894.55970000007,496138.2406999997,678032.8003999997,0.7317319168148018,0.0005380655048594712
2002,Mississippi,219293.38859999995,181233.68820000006,400527.07680000004,0.4524879807077254,0.0007864740764363498
2002,Missouri,277633.4633,491980.17509999993,769613.6383999999,0.6392560507669922,0.0005473946818907123
