Year,State:,final_didnotvote_weight,final_didvote_weight,segment_size,voterturnout,standard_error
2000,Alabama,508605.5823999999,364240.40380000003,872845.9861999999,0.41730203215546396,0.0005278107022037574
2000,Alaska,50870.15550000001,59868.90749999999,110739.063,0.5406304322802513,0.001497548624025747
2000,Arizona,787390.3073000001,267844.1159,1055234.4232,0.2538242782942602,0.0004236553178140348
2000,Arkansas,361607.81680000003,176739.25960000008,538347.0764000001,0.32829984102798415,0.0006400175490146728
2000,California,3353162.3945999993,2100173.751500001,5453336.1461000005,0.3851172374550867,0.00020838262457998648
2000,Colorado,539392.3084999999,373490.28519999987,912882.5936999999,0.4091328805889575,0.0005145998321125373
2000,Connecticut,280127.0107,245902.85879999993,526029.8694999999,0.4674693835042764,0.0006879290895404354
2000,Delaware,79832.2484,58610.30409999998,138442.5525,0.4233546914703121,0.0013279195690825522
2000,District of Columbia,90862.96809999998,50993.00770000002,141855.97580000001,0.35947028253426605,0.0012740231530721801
2000,Florida,1530668.1228000007,1038028.9733000008,2568697.0961000016,0.40410719304974424,0.00030617936259697177
2000,Georgia,1078513.3539,639513.8818000001,1718027.2357,0.37223733623724187,0.00036880150519072203
2000,Hawaii,144673.83229999995,56408.763699999996,201082.59599999996,0.28052534044269056,0.0010018588952695267
2000,Idaho,169579.59330000007,111692.67160000006,281272.2649000001,0.39709806311585616,0.0009225900548480831
2000,Illinois,1452742.4707000009,997090.0406000012,2449832.511300002,0.40700335063758947,0.00031387513687437585
2000,Indiana,953348.3936000004,401982.6428999998,1355331.0365000002,0.2965936970926879,0.0003923389222634311
2000,Iowa,296257.1661000001,288373.91080000007,584631.0769000002,0.49325792314890193,0.0006538672264512355
2000,Kansas,368398.59339999984,196144.33680000002,564542.9301999998,0.34743918718548517,0.0006337258298293135
2000,Kentucky,471597.5689000001,297924.2833,769521.8522000001,0.38715506577007375,0.0005552739440036028
2000,Louisiana,577621.4922999999,454245.63780000014,1031867.1301000001,0.4402171796634111,0.0004886876764953503
2000,Maine,130917.72300000001,135615.41500000007,266533.1380000001,0.5088125852478427,0.0009683379032013692
2000,Maryland,654732.8359999999,346567.1656999998,1001300.0016999997,0.3461172127350451,0.00047542218424267177
2000,Massachusetts,678791.4680000003,452315.12650000013,1131106.5945000006,0.39988726853806694,0.0004606100841627566
2000,Michigan,1104460.9667,821376.5656999997,1925837.5323999997,0.42650356111628546,0.00035638291059349213
2000,Minnesota,475618.48879999993,554461.1666999998,1030079.6554999998,0.5382701849701758,0.0004912004058174358
2000,Mississippi,440974.94010000007,217361.89350000018,658336.8336000002,0.3301682093517304,0.0005795973989374939
2000,Missouri,761716.8897999995,440599.7988999999,1202316.6886999994,0.36645902285228765,0.0004394309349269411
2000,Montana,104273.97829999999,72555.63419999999,176829.6125,0.41031382229602514,0.0011697446028655447
2000,Nebraska,223105.08980000002,136588.50329999998,359693.5931,0.37973571373017595,0.0008092128281876853
2000,Nevada,271422.5647999999,104180.08279999999,375602.64759999985,0.27736780735088734,0.0007305035936807235
2000,New Hampshire,122818.11190000002,114274.86440000003,237092.97630000004,0.4819833391243316,0.0010261917830521909
2000,New Jersey,894325.1770999997,574611.3117999994,1468936.4888999993,0.39117505497483573,0.00040265239416870357
2000,New Mexico,259750.78830000004,123587.83329999998,383338.6216,0.32239859574848534,0.0007549052244351097
2000,New York,1975681.3318000021,1238185.7242000008,3213867.0560000027,0.38526351669973985,0.00027146227382484733
2000,North Carolina,1011122.4890999995,573972.0524000003,1585094.5414999998,0.3621058790959191,0.0003817372165987788
2000,North Dakota,62764.5969,68153.85239999996,130918.44929999995,0.5205824905840829,0.0013807062725338878
2000,Ohio,1379514.928999999,924103.0309000004,2303617.959899999,0.40115290251518787,0.00032292949691063976
2000,Oklahoma,499135.19599999994,220232.28700000004,719367.483,0.3061471253629072,0.0005434046963549408
2000,Oregon,329994.915,282317.491,612312.406,0.46106772986076,0.0006370344640771948
2000,Pennsylvania,1436153.0273,810309.0251999995,2246462.0524999993,0.36070452394165237,0.00032038860891795215
2000,Rhode Island,107442.9048,70738.4286,178181.3334,0.3970024651302783,0.0011591063038737868
2000,South Carolina,516432.12140000006,256722.64460000003,773154.7660000001,0.3320456083174426,0.0005355981353831545
2000,South Dakota,109100.90519999996,55741.5604,164842.46559999997,0.3381504892996457,0.0011651989517846531
2000,Tennessee,837930.8279000007,385323.2839999999,1223254.1119000006,0.31499856019408956,0.0004199926443897522
2000,Texas,2818195.799200002,1493392.8253000001,4311588.624500003,0.34636718744780126,0.00022914829792002714
2000,Utah,356140.711,208951.28859999997,565091.9996,0.369765080284106,0.0006421767819321309
2000,Vermont,67869.89240000003,46365.739100000006,114235.63150000003,0.4058780827941586,0.0014528968883154106
2000,Virginia,785861.2818,560119.1367999997,1345980.4185999997,0.4161421140008848,0.0004248689944631858
2000,Washington,684226.3565,459690.14800000004,1143916.5045,0.4018563821674452,0.0004583961998097389
2000,West Virginia,265176.80189999996,151001.68810000003,416178.49,0.3628291507809547,0.0007453138991088134
2000,Wisconsin,502016.1949000001,544871.3887999998,1046887.5837,0.5204679062810819,0.000488265222589868
2000,Wyoming,51053.85109999997,42843.47549999997,93897.32659999994,0.45628003534660805,0.0016254617698954054
2002,Alabama,659992.1449000002,256932.2427,916924.3876000002,0.28021093797331115,0.0004690060029172452
2002,Alaska,80778.76179999996,42141.97359999999,122920.73539999995,0.3428386062194028,0.0013538430084807675
2002,Arizona,936242.0914000004,162189.61629999997,1098431.7077000004,0.1476556213399992,0.00033849013254132356
2002,Arkansas,426242.9929000002,108651.76880000002,534894.7617000001,0.20312737491517668,0.00055010362839947
2002,California,4576414.622400007,1134165.5730000008,5710580.195400008,0.19860776561961163,0.00016694774611153787
2002,Colorado,672440.6270999997,263963.04079999984,936403.6678999995,0.2818902251760391,0.0004649474544794798
2002,Connecticut,439916.1418000002,121914.16010000007,561830.3019000003,0.21699463287706305,0.0005499260416954104
2002,Delaware,119291.16489999996,25412.95060000001,144704.11549999996,0.17562009561504158,0.0010002541489033375
2002,District of Columbia,119619.4763,24611.5418,144231.0181,0.1706397287089524,0.0009905635776351054
2002,Florida,2112678.197899998,691478.9625000004,2804157.1603999985,0.24659065913458447,0.00025739649916428365
2002,Georgia,1437386.043,379913.40630000003,1817299.4493,0.2090538278907957,0.00030164024082956624
2002,Hawaii,151056.32980000004,37796.49080000001,188852.82060000004,0.20013728510867684,0.0009206827171729105
2002,Idaho,213234.58430000005,81878.0159,295112.60020000004,0.27744669608993533,0.0008241966557919704
2002,Illinois,1852533.3022000014,556161.8081999996,2408695.110400001,0.2308975535337224,0.0002715256403554419
2002,Indiana,972306.3389,200639.38570000004,1172945.7246,0.17105598451149343,0.0003476904630598727
2002,Iowa,454191.6569999999,161456.64070000008,615648.2977,0.26225466927007807,0.0005605940808901327
2002,Kansas,428851.3364000002,114414.6657,543266.0021000002,0.21060523805599646,0.0005531914264706119
2002,Kentucky,604566.4077999995,194725.6048999999,799292.0126999994,0.2436226082658064,0.00048014822456262193
2002,Louisiana,704347.1799999999,186480.7395,890827.9195,0.20933418836341267,0.0004310420620936708
2002,Maine,187367.07779999994,80380.5512,267747.62899999996,0.30021013257973617,0.0008857959315132702
2002,Maryland,639727.5443000001,196194.36649999992,835921.9108,0.23470417985842312,0.0004635453493256509
2002,Massachusetts,868883.7994000006,318446.72990000003,1187330.5293000005,0.2682039432505308,0.00040657605208123935
2002,Michigan,1643236.0489999992,499310.5398000002,2142546.5887999996,0.23304535939153356,0.0002888284251917312
2002,Minnesota,593242.1600999997,497178.5316999998,1090420.6917999997,0.4559511163340893,0.00047695901456025323
2002,Mississippi,531072.9044999998,92287.74879999999,623360.6532999998,0.14804872317724777,0.0004498213029194785
2002,Missouri,916685.0653000005,302009.6964,1218694.7617000006,0.2478140596737414,0.00039109125469902515
2002,Montana,132724.4366,46591.141799999976,179315.57839999997,0.2598276302356114,0.0010356191916865891
2002,Nebraska,283277.50460000016,78059.75420000001,361337.2588000002,0.21603018315696584,0.0006846214711466893
2002,Nevada,330001.87830000016,83621.422,413623.3003000002,0.20216806437004287,0.0006244669912061883
2002,New Hampshire,178472.08470000006,69963.42120000004,248435.5059000001,0.28161603127759693,0.0009024022526849927
2002,New Jersey,1222608.9174,263354.0591,1485962.9764999999,0.17722787395436837,0.0003132577357440456
2002,New Mexico,315684.85550000024,66025.2201,381710.0756000002,0.1729721700330196,0.0006121831435429624
2002,New York,2795410.0878000017,642857.4963999994,3438267.5842000013,0.18697133968110752,0.0002102667544228853
2002,North Carolina,1279569.0256000003,297201.44310000003,1576770.4687000003,0.18848744887075014,0.0003114616643934166
2002,North Dakota,109032.0468,39905.97819999997,148938.02499999997,0.2679368025727478,0.00114759243611959
2002,Ohio,1852393.7842000006,490076.29069999995,2342470.0749000004,0.2092134691287022,0.00026575866071183713
2002,Oklahoma,584722.6331999997,158853.94150000004,743576.5746999998,0.21363494615748294,0.00047531924717762796
2002,Oregon,526563.3946000001,202362.61309999996,728926.0077000001,0.27761749610021486,0.0005245239256529969
2002,Pennsylvania,1862159.8601000002,520621.91209999984,2382781.7722,0.2184933249759228,0.00026769687299133216
2002,Rhode Island,151536.22710000016,40046.97350000001,191583.20060000016,0.20903175943705354,0.0009289812504693748
2002,South Carolina,626191.9704999998,161887.10539999994,788079.0758999998,0.205419875175752,0.00045509826614787064
2002,South Dakota,114162.54960000014,61495.58640000002,175658.13600000017,0.35008675259994765,0.0011381025551327156
2002,Tennessee,942222.7087000001,269943.8851,1212166.5938000001,0.22269536751855007,0.0003778940587006405
2002,Texas,3475014.8016999997,684412.8144000005,4159427.6161,0.16454495126945515,0.00018179713683733127
2002,Utah,475425.30250000017,119158.88680000002,594584.1893000002,0.20040708943217098,0.0005191398048014847
2002,Vermont,100592.6083,31744.99689999999,132337.6052,0.2398788828921622,0.0011738045054468938
2002,Virginia,1056315.5377999991,198665.5357,1254981.073499999,0.1583016189606306,0.000325838453648928
2002,Washington,1067150.9296999997,213194.38309999998,1280345.3127999997,0.16651319059681102,0.00032923813193346896
2002,West Virginia,308315.4250999997,53279.937000000005,361595.3620999997,0.14734684839587453,0.0005894475957902256
2002,Wisconsin,810671.7560999995,270867.1187000001,1081538.8747999996,0.2504460311240217,0.000416617457046136
2002,Wyoming,76924.68959999998,29730.2449,106654.93449999999,0.27875170557626666,0.0013729688675204322
2004,Alabama,501888.8710000001,378259.84119999997,880148.7122000001,0.42976810163649515,0.0005276729285888898
